PERIODE,CODI_OHB,CODI,NOM,ind_value
2017_1trim,08019301_001,01,el Raval,3.76
2017_1trim,08019301_002,02,el Barri Gòtic,11.59
2017_1trim,08019301_003,03,la Barceloneta,4.93
2017_1trim,08019301_004,04,"Sant Pere, Santa Caterina i la Ribera",7.67
2017_1trim,08019302_005,05,el Fort Pienc,10.52
2017_1trim,08019302_006,06,la Sagrada Família,15.39
2017_1trim,08019302_007,07,la Dreta de l'Eixample,38.42
2017_1trim,08019302_008,08,l'Antiga Esquerra de l'Eixample,17.25
2017_1trim,08019302_009,09,la Nova Esquerra de l'Eixample,7.46
2017_1trim,08019302_010,10,Sant Antoni,15.43
2017_1trim,08019303_011,11,el Poble Sec,13.31
2017_1trim,08019303_012,12,la Marina del Prat Vermell,3.50
2017_1trim,08019303_013,13,la Marina de Port,0.26
2017_1trim,08019303_014,14,la Font de la Guatlla,7.18
2017_1trim,08019303_015,15,Hostafrancs,11.27
2017_1trim,08019303_016,16,la Bordeta,2.38
2017_1trim,08019303_017,17,Sants - Badal,4.60
2017_1trim,08019303_018,18,Sants,6.08
2017_1trim,08019304_019,19,les Corts,4.70
2017_1trim,08019304_020,20,la Maternitat i Sant Ramon,2.01
2017_1trim,08019304_021,21,Pedralbes,1.85
2017_1trim,08019305_022,22,"Vallvidrera, el Tibidabo i les Planes",4.10
2017_1trim,08019305_023,23,Sarrià,2.02
2017_1trim,08019305_024,24,les Tres Torres,2.25
2017_1trim,08019305_025,25,Sant Gervasi - la Bonanova,1.29
2017_1trim,08019305_026,26,Sant Gervasi - Galvany,5.78
2017_1trim,08019305_027,27,el Putxet i el Farró,5.11
2017_1trim,08019306_028,28,Vallcarca i els Penitents,2.24
2017_1trim,08019306_029,29,el Coll,4.06
2017_1trim,08019306_030,30,la Salut,2.97
2017_1trim,08019306_031,31,la Vila de Gràcia,14.77
2017_1trim,08019306_032,32,el Camp d'en Grassot i Gràcia Nova,6.37
2017_1trim,08019307_033,33,el Baix Guinardó,4.03
2017_1trim,08019307_034,34,Can Baró,2.23
2017_1trim,08019307_035,35,el Guinardó,1.96
2017_1trim,08019307_036,36,la Font d'en Fargues,0.43
2017_1trim,08019307_037,37,el Carmel,1.08
2017_1trim,08019307_038,38,la Teixonera,0.71
2017_1trim,08019307_039,39,Sant Genís dels Agudells,0.89
2017_1trim,08019307_040,40,Montbau,0.40
2017_1trim,08019307_041,41,la Vall d'Hebron,0.18
2017_1trim,08019307_042,42,la Clota,0.00
2017_1trim,08019307_043,43,Horta,0.41
2017_1trim,08019308_044,44,Vilapicina i la Torre Llobeta,0.35
2017_1trim,08019308_045,45,Porta,0.08
2017_1trim,08019308_046,46,el Turó de la Peira,0.00
2017_1trim,08019308_047,47,Can Peguera,0.00
2017_1trim,08019308_048,48,la Guineueta,0.07
2017_1trim,08019308_049,49,Canyelles,0.14
2017_1trim,08019308_050,50,les Roquetes,0.13
2017_1trim,08019308_051,51,Verdun,0.41
2017_1trim,08019308_052,52,la Prosperitat,0.15
2017_1trim,08019308_053,53,la Trinitat Nova,0.00
2017_1trim,08019308_054,54,Torre Baró,1.07
2017_1trim,08019308_055,55,Ciutat Meridiana,0.00
2017_1trim,08019308_056,56,Vallbona,12.57
2017_1trim,08019309_057,57,la Trinitat Vella,2.59
2017_1trim,08019309_058,58,Baró de Viver,0.00
2017_1trim,08019309_059,59,el Bon Pastor,0.08
2017_1trim,08019309_060,60,Sant Andreu,0.58
2017_1trim,08019309_061,61,la Sagrera,0.76
2017_1trim,08019309_062,62,el Congrés i els Indians,0.50
2017_1trim,08019309_063,63,Navas,0.77
2017_1trim,08019310_064,64,el Camp de l'Arpa del Clot,7.16
2017_1trim,08019310_065,65,el Clot,1.90
2017_1trim,08019310_066,66,el Parc i la Llacuna del Poblenou,6.81
2017_1trim,08019310_067,67,la Vila Olímpica del Poblenou,12.32
2017_1trim,08019310_068,68,el Poblenou,11.28
2017_1trim,08019310_069,69,Diagonal Mar i el Front Marítim del Poblenou,10.82
2017_1trim,08019310_070,70,el Besòs i el Maresme,2.29
2017_1trim,08019310_071,71,Provençals del Poblenou,1.96
2017_1trim,08019310_072,72,Sant Martí de Provençals,0.62
2017_1trim,08019310_073,73,la Verneda i la Pau,0.31
